"","CodeClass","Name","Accession"
"IL5RA","Endogenous","IL5RA","NM_000564.4"
"FCRL2","Endogenous","FCRL2","NM_001159488.1"
"RPS6KA1","Endogenous","RPS6KA1","NM_002953.3"
"CXCL17","Endogenous","CXCL17","NM_198477.3"
"CASP10","Endogenous","CASP10","NM_001206524.1"
"ETS1","Endogenous","ETS1","NM_005238.3"
"TLR4","Endogenous","TLR4","NM_003266.3"
"IFNL1","Endogenous","IFNL1","NM_172140.1"
"IL2","Endogenous","IL2","NM_000586.2"
"CD247","Endogenous","CD247","NM_198053.2"
"IL27RA","Endogenous","IL27RA","NM_004843.3"
"IL26","Endogenous","IL26","NM_018402.1"
"STAT5B","Endogenous","STAT5B","NM_012448.3"
"LIMK2","Endogenous","LIMK2","NM_001031801.1"
"IL7","Endogenous","IL7","NM_001199886.1"
"NCR1","Endogenous","NCR1","NM_004829.5"
"TYROBP","Endogenous","TYROBP","NM_003332.3"
"CXCR1","Endogenous","CXCR1","NM_000634.2"
"IL1RL1","Endogenous","IL1RL1","NM_016232.4"
"TRIM33","Endogenous","TRIM33","NM_015906.3"
"LCP2","Endogenous","LCP2","NM_005565.4"
"LITAF","Endogenous","LITAF","NM_004862.3"
"RPS6KB1","Endogenous","RPS6KB1","NM_003161.2"
"CD276","Endogenous","CD276","NM_001024736.1"
"PAK1","Endogenous","PAK1","NM_002576.5"
"HLA-DPA1","Endogenous","HLA-DPA1","NM_033554.3"
"CCL20","Endogenous","CCL20","NM_001130046.1"
"KIR2DL3","Endogenous","KIR2DL3","NM_014511.3"
"SYK","Endogenous","SYK","NM_003177.5"
"CD3E","Endogenous","CD3E","NM_000733.3"
"IFNA6","Endogenous","IFNA6","NM_021002.2"
"NGLY1","Endogenous","NGLY1","NM_001145293.1"
"IFNL2/3","Endogenous","IFNL2/3","NM_172139.2"
"PTGER4","Endogenous","PTGER4","NM_000958.2"
"CD79A","Endogenous","CD79A","NM_001783.3"
"GBP5","Endogenous","GBP5","NM_052942.3"
"PECAM1","Endogenous","PECAM1","NM_000442.3"
"PSMB9","Endogenous","PSMB9","NM_002800.4"
"IL3RA","Endogenous","IL3RA","NM_002183.2"
"CCR5","Endogenous","CCR5","NM_000579.3"
"IL36B","Endogenous","IL36B","NM_014438.5"
"CXCL2","Endogenous","CXCL2","NM_002089.4"
"TXNIP","Endogenous","TXNIP","NM_006472.4"
"CXCR3","Endogenous","CXCR3","NM_001504.1"
"RUNX3","Endogenous","RUNX3","NM_001031680.2"
"SP1","Endogenous","SP1","NM_138473.2"
"ALPL","Endogenous","ALPL","NM_000478.4"
"IL12RB2","Endogenous","IL12RB2","NM_001559.2"
"HSP90AA1","Endogenous","HSP90AA1","NM_001017963.2"
"TCF7","Endogenous","TCF7","NM_201633.2"
"CCR2","Endogenous","CCR2","NM_001123041.2"
"AP1G1","Endogenous","AP1G1","NM_001030007.1"
"DNAJA2","Endogenous","DNAJA2","NM_005880.3"
"MAP3K8","Endogenous","MAP3K8","NM_001244134.1"
"NCF4","Endogenous","NCF4","NM_000631.4"
"CTSW","Endogenous","CTSW","NM_001335.3"
"IL20RA","Endogenous","IL20RA","NM_014432.2"
"IFI16","Endogenous","IFI16","NM_001206567.1"
"IL36RN","Endogenous","IL36RN","NM_012275.3"
"SOCS1","Endogenous","SOCS1","NM_003745.1"
"NLRC4","Endogenous","NLRC4","NM_001199138.1"
"CCL16","Endogenous","CCL16","NM_004590.3"
"UBA52","Endogenous","UBA52","NM_003333.3"
"XCL1/2","Endogenous","XCL1/2","NM_002995.2"
"RGMA","Endogenous","RGMA","NM_001166283.1"
"CXCL1","Endogenous","CXCL1","NM_001511.3"
"BPI","Endogenous","BPI","NM_001725.2"
"AKT2","Endogenous","AKT2","NM_001626.4"
"PELI1","Endogenous","PELI1","NM_020651.3"
"IL6R","Endogenous","IL6R","NM_000565.2"
"TNFSF10","Endogenous","TNFSF10","NM_003810.2"
"TRIM25","Endogenous","TRIM25","NM_005082.4"
"RASGRP4","Endogenous","RASGRP4","NM_170604.1"
"TNFRSF18","Endogenous","TNFRSF18","NM_148901.1"
"MGAM","Endogenous","MGAM","XM_011516674.2"
"LAT","Endogenous","LAT","NM_001014987.1"
"IL13RA2","Endogenous","IL13RA2","NM_000640.2"
"IFNK","Endogenous","IFNK","NM_020124.2"
"ALOX5","Endogenous","ALOX5","NM_000698.2"
"PTPRC","Endogenous","PTPRC","NM_080921.3"
"TRAF3","Endogenous","TRAF3","NM_145725.2"
"UBE2N","Endogenous","UBE2N","NM_003348.4"
"IL2RA","Endogenous","IL2RA","NM_000417.2"
"CCL14","Endogenous","CCL14","NM_032963.4"
"IL15RA","Endogenous","IL15RA","NM_002189.3"
"CEACAM3","Endogenous","CEACAM3","NM_001815.3"
"IL13RA1","Endogenous","IL13RA1","NM_001560.2"
"NEU1","Endogenous","NEU1","NM_000434.4"
"IL1F10","Endogenous","IL1F10","NM_032556.6"
"CTSG","Endogenous","CTSG","NM_001911.2"
"IFIH1","Endogenous","IFIH1","NM_022168.3"
"EVL","Endogenous","EVL","NM_016337.2"
"HLA-DRA","Endogenous","HLA-DRA","NM_019111.3"
"CD70","Endogenous","CD70","NM_001252.2"
"EIF2AK2","Endogenous","EIF2AK2","NM_002759.1"
"IL1R2","Endogenous","IL1R2","NM_173343.1"
"HMGB1","Endogenous","HMGB1","NM_002128.4"
"IFNA2","Endogenous","IFNA2","NM_000605.3"
"TRIM6","Endogenous","TRIM6","NM_058166.4"
"HDC","Endogenous","HDC","NM_002112.3"
"IL1RAP","Endogenous","IL1RAP","NM_002182.2"
"RIPK2","Endogenous","RIPK2","NM_003821.5"
"PDHB","Endogenous","PDHB","NM_000925.3"
"OSM","Endogenous","OSM","NM_020530.6"
"PIK3R6","Endogenous","PIK3R6","NM_001010855.3"
"KIR2DL1","Endogenous","KIR2DL1","NM_014218.2"
"CD69","Endogenous","CD69","NM_001781.1"
"SELENOS","Endogenous","SELENOS","NM_203472.1"
"IDO1","Endogenous","IDO1","NM_002164.5"
"IL12A","Endogenous","IL12A","NM_000882.2"
"PRKCD","Endogenous","PRKCD","NM_006254.3"
"PDCD1LG2","Endogenous","PDCD1LG2","NM_025239.3"
"LAMP3","Endogenous","LAMP3","NM_014398.3"
"HLA-E","Endogenous","HLA-E","NM_005516.5"
"HSP90B1","Endogenous","HSP90B1","NM_003299.2"
"ATG4A","Endogenous","ATG4A","NM_052936.5"
"BECN1","Endogenous","BECN1","NM_003766.4"
"CD44","Endogenous","CD44","NM_001001392.1"
"PDCD1","Endogenous","PDCD1","NM_005018.2"
"FAM30A","Endogenous","FAM30A","NR_026800.2"
"IRAK1","Endogenous","IRAK1","NM_001569.3"
"ADGRG3","Endogenous","ADGRG3","NM_170776.5"
"CCR1","Endogenous","CCR1","NM_001295.2"
"GCA","Endogenous","GCA","NM_012198.3"
"TXK","Endogenous","TXK","NM_003328.1"
"BCL3","Endogenous","BCL3","NM_005178.2"
"TLR6","Endogenous","TLR6","NM_006068.4"
"PSMB8","Endogenous","PSMB8","NM_004159.4"
"ALOX15","Endogenous","ALOX15","NM_001140.3"
"IL12B","Endogenous","IL12B","NM_002187.2"
"CASP4","Endogenous","CASP4","NM_001225.3"
"ACKR3","Endogenous","ACKR3","NM_020311.1"
"CCL7","Endogenous","CCL7","NM_006273.2"
"CD27","Endogenous","CD27","NM_001242.4"
"MAPK13","Endogenous","MAPK13","NM_002754.3"
"GBP1","Endogenous","GBP1","NM_002053.2"
"TNFSF9","Endogenous","TNFSF9","NM_003811.3"
"CD4","Endogenous","CD4","NM_000616.4"
"CRP","Endogenous","CRP","NM_000567.2"
"ADGRE5","Endogenous","ADGRE5","NM_078481.3"
"LAMP1","Endogenous","LAMP1","NM_005561.3"
"MAF","Endogenous","MAF","NM_001031804.2"
"LAT2","Endogenous","LAT2","NM_014146.3"
"IRAK3","Endogenous","IRAK3","NM_007199.1"
"LAG3","Endogenous","LAG3","NM_002286.5"
"SERPINA1","Endogenous","SERPINA1","NM_001127702.1"
"KIR3DL1/2","Endogenous","KIR3DL1/2","NM_001322168.1"
"ACOX1","Endogenous","ACOX1","NM_001185039.1"
"FOXO1","Endogenous","FOXO1","NM_002015.3"
"PIK3CG","Endogenous","PIK3CG","NM_002649.2"
"LCN2","Endogenous","LCN2","NM_005564.3"
"EIF2AK3","Endogenous","EIF2AK3","NM_004836.5"
"IL4R","Endogenous","IL4R","NM_000418.3"
"NPC2","Endogenous","NPC2","NM_006432.3"
"MAP3K5","Endogenous","MAP3K5","NM_005923.3"
"CSF1","Endogenous","CSF1","NM_000757.4"
"CD86","Endogenous","CD86","NM_175862.4"
"SMAD3","Endogenous","SMAD3","NM_005902.3"
"FCGR1A/B","Endogenous","FCGR1A/B","NM_000566.3"
"FAS","Endogenous","FAS","NM_000043.4"
"PSMB10","Endogenous","PSMB10","NM_002801.2"
"ATG10","Endogenous","ATG10","NM_001131028.1"
"RNF135","Endogenous","RNF135","NM_032322.3"
"RSAD2","Endogenous","RSAD2","NM_080657.4"
"STING1","Endogenous","STING1","NM_198282.1"
"SLC11A1","Endogenous","SLC11A1","NM_000578.3"
"MS4A7","Endogenous","MS4A7","NM_206939.1"
"TBK1","Endogenous","TBK1","NM_013254.2"
"LAMP2","Endogenous","LAMP2","NM_002294.2"
"RIPK3","Endogenous","RIPK3","NM_006871.3"
"EPHX2","Endogenous","EPHX2","NM_001979.5"
"TCN2","Endogenous","TCN2","NM_000355.3"
"CD6","Endogenous","CD6","NM_001254751.1"
"ACSL3","Endogenous","ACSL3","NM_203372.1"
"MLKL","Endogenous","MLKL","NM_001142497.1"
"HAVCR2","Endogenous","HAVCR2","NM_032782.3"
"TGFB2","Endogenous","TGFB2","NM_003238.2"
"DDX58","Endogenous","DDX58","NM_014314.3"
"REL","Endogenous","REL","NM_002908.3"
"CCR9","Endogenous","CCR9","NM_031200.1"
"ADORA2A","Endogenous","ADORA2A","NM_000675.5"
"ITPR3","Endogenous","ITPR3","NM_002224.2"
"BLK","Endogenous","BLK","NM_001715.2"
"NDUFS8","Endogenous","NDUFS8","XM_005274015.1"
"IL1R1","Endogenous","IL1R1","NM_000877.3"
"MAPK14","Endogenous","MAPK14","NM_001315.2"
"CD45R0","Endogenous","CD45R0","NM_080921.3"
"JAK1","Endogenous","JAK1","NM_002227.1"
"PRKCQ","Endogenous","PRKCQ","NM_006257.2"
"MAVS","Endogenous","MAVS","NM_001206491.1"
"MYD88","Endogenous","MYD88","NM_002468.4"
"IL1RAPL1","Endogenous","IL1RAPL1","NM_014271.3"
"C5","Endogenous","C5","NM_001735.2"
"LCK","Endogenous","LCK","NM_005356.2"
"FPR2","Endogenous","FPR2","NM_001005738.1"
"CSF2","Endogenous","CSF2","NM_000758.3"
"IL22","Endogenous","IL22","NM_020525.4"
"CCL21","Endogenous","CCL21","NM_002989.2"
"CBLB","Endogenous","CBLB","NM_170662.3"
"IL9R","Endogenous","IL9R","NM_176786.2"
"APOBEC3G","Endogenous","APOBEC3G","NM_021822.2"
"IFNW1","Endogenous","IFNW1","NM_002177.1"
"IL17A","Endogenous","IL17A","NM_002190.2"
"ATF6","Endogenous","ATF6","NM_007348.2"
"CUL1","Endogenous","CUL1","NM_003592.2"
"LRG1","Endogenous","LRG1","NM_052972.3"
"C2","Endogenous","C2","NM_000063.5"
"TNFRSF4","Endogenous","TNFRSF4","NM_003327.3"
"AIF1","Endogenous","AIF1","NM_032955.1"
"ITGAX","Endogenous","ITGAX","NM_000887.4"
"CD274","Endogenous","CD274","NM_014143.3"
"HCK","Endogenous","HCK","NM_002110.2"
"CTSZ","Endogenous","CTSZ","NM_001336.3"
"MVP","Endogenous","MVP","NM_017458.2"
"IRAK4","Endogenous","IRAK4","NM_001114182.1"
"ITLN1","Endogenous","ITLN1","NM_017625.2"
"PRCP","Endogenous","PRCP","NM_005040.2"
"MS4A1","Endogenous","MS4A1","NM_152866.2"
"TGFB1","Endogenous","TGFB1","NM_000660.3"
"CTSL","Endogenous","CTSL","NM_001912.4"
"IL25","Endogenous","IL25","NM_022789.2"
"KLRK1","Endogenous","KLRK1","NM_007360.1"
"PLCG2","Endogenous","PLCG2","NM_002661.2"
"MRC1","Endogenous","MRC1","NM_002438.3"
"DDX5","Endogenous","DDX5","NM_004396.3"
"CXCL11","Endogenous","CXCL11","NM_005409.4"
"IL3","Endogenous","IL3","NM_000588.3"
"ENTPD1","Endogenous","ENTPD1","NM_001098175.1"
"NEO1","Endogenous","NEO1","NM_002499.2"
"TPP1","Endogenous","TPP1","NM_000391.3"
"HLA-DMA","Endogenous","HLA-DMA","NM_006120.3"
"IFNAR2","Endogenous","IFNAR2","NM_000874.3"
"JUNB","Endogenous","JUNB","NM_002229.2"
"C3","Endogenous","C3","NM_000064.2"
"PTGS2","Endogenous","PTGS2","NM_000963.1"
"IL1RL2","Endogenous","IL1RL2","NM_001351447.1"
"IL18","Endogenous","IL18","NM_001562.3"
"IL6","Endogenous","IL6","NM_000600.3"
"ICOSLG","Endogenous","ICOSLG","NM_015259.5"
"LYN","Endogenous","LYN","NM_002350.3"
"LANCL1","Endogenous","LANCL1","NM_006055.1"
"IRF3","Endogenous","IRF3","NM_001571.5"
"IFIT3","Endogenous","IFIT3","NM_001031683.2"
"IL15","Endogenous","IL15","NM_000585.4"
"TNFSF18","Endogenous","TNFSF18","NM_005092.2"
"IL6ST","Endogenous","IL6ST","NM_002184.2"
"PLAU","Endogenous","PLAU","NM_002658.2"
"BDKRB1","Endogenous","BDKRB1","NM_000710.3"
"SUGT1","Endogenous","SUGT1","NM_001130912.1"
"NAMPT","Endogenous","NAMPT","NM_005746.3"
"MDFIC","Endogenous","MDFIC","NM_199072.2"
"TGFB3","Endogenous","TGFB3","NM_003239.2"
"STAT4","Endogenous","STAT4","NM_003151.2"
"DHX58","Endogenous","DHX58","NM_024119.2"
"LRRK2","Endogenous","LRRK2","NM_198578.3"
"CCL11","Endogenous","CCL11","NM_002986.2"
"CPA3","Endogenous","CPA3","NM_001870.2"
"KLRC1","Endogenous","KLRC1","NM_002259.3"
"SIGLEC5","Endogenous","SIGLEC5","NM_003830.3"
"IFI6","Endogenous","IFI6","NM_002038.3"
"ATG13","Endogenous","ATG13","NM_001142673.1"
"IFITM3","Endogenous","IFITM3","NM_021034.2"
"ATF4","Endogenous","ATF4","NM_001675.2"
"LCP1","Endogenous","LCP1","NM_002298.4"
"GZMH","Endogenous","GZMH","NM_033423.4"
"SOCS3","Endogenous","SOCS3","NM_003955.4"
"CCL19","Endogenous","CCL19","NM_006274.2"
"IL17RA","Endogenous","IL17RA","NM_014339.6"
"SCARB2","Endogenous","SCARB2","NM_005506.2"
"KPNB1","Endogenous","KPNB1","NM_002265.4"
"WAS","Endogenous","WAS","NM_000377.2"
"FCAR","Endogenous","FCAR","NM_133278.2"
"STAT3","Endogenous","STAT3","NM_003150.3"
"GBP4","Endogenous","GBP4","NM_052941.4"
"CD28","Endogenous","CD28","NM_001243077.1"
"IL36A","Endogenous","IL36A","NM_014440.1"
"SELL","Endogenous","SELL","NM_000655.4"
"EGLN1","Endogenous","EGLN1","NM_022051.2"
"IL31","Endogenous","IL31","NM_001014336.1"
"SOD1","Endogenous","SOD1","NM_000454.4"
"HLA-C","Endogenous","HLA-C","NM_002117.4"
"NTNG2","Endogenous","NTNG2","NM_032536.1"
"LILRA3","Endogenous","LILRA3","NM_006865.3"
"IFNLR1","Endogenous","IFNLR1","NM_170743.3"
"C5AR1","Endogenous","C5AR1","NM_001736.3"
"IL18R1","Endogenous","IL18R1","NM_003855.3"
"MAP2K2","Endogenous","MAP2K2","NM_030662.3"
"NRAS","Endogenous","NRAS","NM_002524.4"
"ZBP1","Endogenous","ZBP1","NM_001160419.2"
"MCL1","Endogenous","MCL1","NM_021960.5"
"ITGAE","Endogenous","ITGAE","NM_002208.4"
"IL12RB1","Endogenous","IL12RB1","NM_005535.1"
"IL13","Endogenous","IL13","NM_002188.2"
"IL19","Endogenous","IL19","NM_013371.3"
"GSTM4","Endogenous","GSTM4","NM_000850.4"
"IL17B","Endogenous","IL17B","NM_014443.2"
"KRAS","Endogenous","KRAS","NM_033360.2"
"LDHB","Endogenous","LDHB","NM_001174097.1"
"DDIT3","Endogenous","DDIT3","NM_001195054.1"
"CXCL12","Endogenous","CXCL12","NM_199168.3"
"TNFRSF1A","Endogenous","TNFRSF1A","NM_001065.2"
"UBE2L6","Endogenous","UBE2L6","NM_004223.4"
"OS9","Endogenous","OS9","NM_001017956.2"
"CCL15","Endogenous","CCL15","NM_032965.6"
"TLR1","Endogenous","TLR1","NM_003263.3"
"MME","Endogenous","MME","NM_001354644.1"
"CD40","Endogenous","CD40","NM_001250.4"
"IKBKG","Endogenous","IKBKG","NM_003639.2"
"IL32","Endogenous","IL32","NM_004221.4"
"RNASEL","Endogenous","RNASEL","NM_021133.3"
"IFITM2","Endogenous","IFITM2","NM_006435.2"
"CCL17","Endogenous","CCL17","NM_002987.2"
"IFIT1","Endogenous","IFIT1","NM_001548.3"
"TAB2","Endogenous","TAB2","NM_015093.3"
"ATM","Endogenous","ATM","NM_000051.3"
"PIK3CD","Endogenous","PIK3CD","NM_005026.3"
"IL1B","Endogenous","IL1B","NM_000576.2"
"SPIB","Endogenous","SPIB","NM_003121.4"
"CD19","Endogenous","CD19","NM_001178098.1"
"IL1A","Endogenous","IL1A","NM_000575.3"
"STRAP","Endogenous","STRAP","NM_007178.3"
"BCR","Endogenous","BCR","NM_004327.3"
"RAB5C","Endogenous","RAB5C","NM_001252039.1"
"PTPN4","Endogenous","PTPN4","NM_002830.3"
"TRAT1","Endogenous","TRAT1","NM_001317747.1"
"EBI3","Endogenous","EBI3","NM_005755.2"
"NFATC2","Endogenous","NFATC2","NM_012340.3"
"DIABLO","Endogenous","DIABLO","NM_138930.3"
"STAT1","Endogenous","STAT1","NM_139266.1"
"IL34","Endogenous","IL34","NM_152456.1"
"CCRL2","Endogenous","CCRL2","NM_001130910.1"
"CX3CR1","Endogenous","CX3CR1","NM_001337.3"
"TBXAS1","Endogenous","TBXAS1","NM_001061.4"
"SAMHD1","Endogenous","SAMHD1","NM_015474.2"
"CD8A","Endogenous","CD8A","NM_001768.6"
"TRAF6","Endogenous","TRAF6","NM_145803.2"
"ITGB2","Endogenous","ITGB2","NM_001127491.1"
"CD244","Endogenous","CD244","NM_001166663.1"
"CXCR2","Endogenous","CXCR2","NM_001557.3"
"MAPKAPK2","Endogenous","MAPKAPK2","NM_004759.3"
"MT2A","Endogenous","MT2A","NM_005953.5"
"OAS1","Endogenous","OAS1","NM_001032409.1"
"JAK3","Endogenous","JAK3","NM_000215.2"
"CASP3","Endogenous","CASP3","NM_004346.3"
"JAK2","Endogenous","JAK2","NM_004972.3"
"MKNK1","Endogenous","MKNK1","NM_001135553.4"
"LTA4H","Endogenous","LTA4H","NM_001256643.1"
"IL24","Endogenous","IL24","NM_001185158.1"
"TNFRSF17","Endogenous","TNFRSF17","NM_001192.2"
"AP1S2","Endogenous","AP1S2","NM_003916.4"
"RHOG","Endogenous","RHOG","NM_001665.3"
"ACSL1","Endogenous","ACSL1","NM_001995.4"
"CD45RA","Endogenous","CD45RA","NM_002838.4"
"CALM1","Endogenous","CALM1","NM_006888.4"
"TAB1","Endogenous","TAB1","NM_153497.2"
"CD79B","Endogenous","CD79B","NM_001039933.1"
"PLG","Endogenous","PLG","NM_000301.3"
"CHUK","Endogenous","CHUK","NM_001320928.1"
"FCGR3A/B","Endogenous","FCGR3A/B","NM_000569.6"
"THOP1","Endogenous","THOP1","NM_003249.3"
"RIPK1","Endogenous","RIPK1","NM_003804.3"
"IL17F","Endogenous","IL17F","NM_052872.3"
"CCL26","Endogenous","CCL26","NM_006072.4"
"FCGR2A","Endogenous","FCGR2A","NM_021642.3"
"PRDM1","Endogenous","PRDM1","NM_182907.1"
"IGFBP7","Endogenous","IGFBP7","NM_001553.1"
"HLA-DPB1","Endogenous","HLA-DPB1","NM_002121.5"
"RPS6KA3","Endogenous","RPS6KA3","NM_004586.2"
"TLR7","Endogenous","TLR7","NM_016562.3"
"GUCY1B1","Endogenous","GUCY1B1","NM_000857.2"
"TIGIT","Endogenous","TIGIT","NM_173799.3"
"IFNB1","Endogenous","IFNB1","NM_002176.2"
"IL21R","Endogenous","IL21R","NM_181079.4"
"XBP1","Endogenous","XBP1","NM_001079539.1"
"POS_C(8)","Positive","POS_C(8)","ERCC_00002.1"
"POS_A(128)","Positive","POS_A(128)","ERCC_00117.1"
"POS_F(0.125)","Positive","POS_F(0.125)","ERCC_00034.1"
"POS_D(2)","Positive","POS_D(2)","ERCC_00092.1"
"POS_B(32)","Positive","POS_B(32)","ERCC_00112.1"
"POS_E(0.5)","Positive","POS_E(0.5)","ERCC_00035.1"
"NEG_C(0)","Negative","NEG_C(0)","ERCC_00019.1"
"NEG_D(0)","Negative","NEG_D(0)","ERCC_00076.1"
"NEG_E(0)","Negative","NEG_E(0)","ERCC_00098.1"
"NEG_A(0)","Negative","NEG_A(0)","ERCC_00096.1"
"NEG_H(0)","Negative","NEG_H(0)","ERCC_00154.1"
"NEG_G(0)","Negative","NEG_G(0)","ERCC_00144.1"
"NEG_F(0)","Negative","NEG_F(0)","ERCC_00126.1"
"NEG_B(0)","Negative","NEG_B(0)","ERCC_00041.1"
"SDHA","Housekeeping","SDHA","NM_004168.2"
"MRPS7","Housekeeping","MRPS7","NM_015971.3"
"PGK1","Housekeeping","PGK1","NM_000291.2"
"ALAS1","Housekeeping","ALAS1","NM_000688.4"
"HPRT1","Housekeeping","HPRT1","NM_000194.1"
"OAZ1","Housekeeping","OAZ1","NM_004152.2"
"ABCF1","Housekeeping","ABCF1","NM_001090.2"
"NMT1","Housekeeping","NMT1","NM_021079.3"
"NRDE2","Housekeeping","NRDE2","NM_017970.3"
"TBP","Housekeeping","TBP","NM_001172085.1"
"GUSB","Housekeeping","GUSB","NM_000181.3"
"STK11IP","Housekeeping","STK11IP","NM_052902.2"
