"gene","CCD/HD log2 fold-change","CCD/HD p-value","CCD/HD FDR","0-90d CCD/HD log2 fold-change","0-90d CCD/HD p-value","0-90d CCD/HD FDR","90-120d CCD/HD log2 fold-change","90-120d CCD/HD p-value","90-120d CCD/HD FDR","120-150d CCD/HD log2 fold-change","120-150d CCD/HD p-value","120-150d CCD/HD FDR","150-360d CCD/HD log2 fold-change","150-360d CCD/HD p-value","150-360d CCD/HD FDR","time log2 fold-change","time p-value","time FDR","moderate/mild log2 fold change","moderate/mild p-value","moderate/mild fdr","severe/mild log2 fold change","severe/mild p-value","severe/mild fdr","MILD/healthy log2 fold change","MILD/healthy p-value","MILD/healthy FDR","MODERATE/healthy log2 fold change","MODERATE/healthy p-value","MODERATE/healthy FDR","SEVERE/healthy log2 fold change","SEVERE/healthy p-value","SEVERE/healthy FDR","sex M/F log2 fold-change","sex p-value","sex FDR","Age log2 fold change per year","Age p-value","Age FDR","Race p-value","Race FDR","neutralizing ab > 0 log2 fold-change","neutralizing ab > 0 p-value","neutralizing ab > 0 FDR","ortho ab > 12 log2 fold-change","ortho ab > 12 p-value","ortho ab > 12 FDR","TCR log2 fold-change","TCR p-value","TCR FDR"
"TRBC1.2_ENST00000466254.1",0.33387806099144,0.0108454755254514,0.0341796804438469,0.432079989226231,0.000213953992938167,0.00123617862586496,-0.0363425770259761,0.822209672268093,0.996470134738779,0.213261717600306,0.169232266130649,0.345101091717403,0.56228155046,5.86287067797591e-05,0.00043552753607821,0.00019114434945657,0.859989968127467,0.963852886263489,-0.231091414318007,0.378044760275046,0.638803860655965,0.151452212396554,0.732553945703769,0.984954128501621,0.343509493870268,0.0052913459231421,0.0177516121292509,0.311144920342308,0.0161119984458752,0.0478756525248864,0.316173959630207,0.0154205644694688,0.0453498768123194,-0.263070367863466,0.00168435448340396,0.00789585523495288,-0.0069983075728783,0.0135635680400703,0.0643104392031956,0.0515968565466033,0.11417176767759,0.0552324121497144,0.63903233167643,0.987019846950917,-0.0962037179916463,0.326411374259643,0.652822748519285,-1.56768554855461,0.0040640292881163,0.0704431743273493
"TRAV25_TCRVA_033.1",0.413936845004137,0.00476905920421989,0.026123098477537,0.527386132216353,0.000587956581667705,0.00218383873190862,0.0455395106061632,0.804786592358461,0.996470134738779,0.285888620026786,0.121861391254142,0.320934547472275,0.673490105415172,4.79093712830144e-05,0.000415214551119458,0.00099272876777101,0.408612425737751,0.963852886263489,-0.137938981824685,0.628716342592152,0.765543879568724,0.283352405129773,0.557362590042328,0.984954128501621,0.432545630718628,0.00219778608580645,0.0126983196068817,0.378820434009353,0.00956738677750382,0.0478756525248864,0.396665347541952,0.00649285316041607,0.0375142627046262,-0.226525799291905,0.0190786531080325,0.0346204018671125,-0.00503088365324622,0.12383951906817,0.254851972991577,0.0319666324450632,0.0874876256391204,0.0233697984688798,0.860047619113744,0.987019846950917,-0.149330347164868,0.204659403716214,0.620173586097064,-0.333300571959326,0.596616646395902,0.954144819440944
"TRBV11.1_TCRVB_029.1",0.242003573964197,0.171833371392556,0.212746078866973,0.267657007085958,0.174081241901943,0.203420777053956,-0.120057429807504,0.59720839381645,0.996470134738779,0.17756827912009,0.368630099817505,0.518074734878656,0.392452282786135,0.06168389559888,0.0782332334424819,-0.000564635059600595,0.68492958506245,0.963852886263489,-0.231931662901472,0.508156031495195,0.686340613967536,-0.951583388735736,0.109972602021146,0.984954128501621,0.177475300444381,0.319386894043262,0.361046054135861,0.223797707346436,0.200501330665626,0.251230583002712,0.158384819023636,0.425755515055816,0.476113694255966,-0.39736460292932,0.0021882735274374,0.00789585523495288,0.00236062226452278,0.592480820268455,0.677120937449663,0.103912238326471,0.171537663269096,-0.180377307136384,0.287239249800661,0.987019846950917,-0.128179723044565,0.434737078352235,0.725641378249713,-0.0966578591440341,0.902335347461206,0.987079586191728
"TRGV2_ENST00000426402.1",0.057424962060227,0.79098977288066,0.814484518609788,0.155525575730693,0.455620609202515,0.478631751081429,-0.154479772505811,0.590080015157071,0.996470134738779,0.136201193349146,0.626483443023351,0.723936423049205,0.307878761542676,0.275204064566874,0.295064151700566,0.000452291092945329,0.760530670643393,0.963852886263489,-0.612543286713529,0.135418929332615,0.638803860655965,0.435905837417041,0.528853483459851,0.984954128501621,0.133241458115311,0.517906608048053,0.549615175887729,0.038220477703858,0.856862077403276,0.865181126698454,0.0679190302160546,0.750313761767431,0.784997874798325,-0.270550093808302,0.0493005755822546,0.068363464807393,-0.00766348346101127,0.0991592710779832,0.213835331171581,0.0249751118621983,0.0742117609619606,0.112924792770647,0.488708191788868,0.987019846950917,-0.00563563906256375,0.974226228769398,0.987642693446716,-1.11365900919167,0.163494479568014,0.614238174290763
"TRAV2_TCRVA_003.1",0.45726126845837,0.00212268257623069,0.0220758987927992,0.643930580720408,2.08316369061295e-06,0.000108324511911873,0.0440908459675454,0.813243387403803,0.996470134738779,0.293759737780923,0.0961705839774645,0.320934547472275,0.682966521067682,6.98802607427443e-06,0.000195230881072439,-0.000387707309241191,0.745977158706168,0.963852886263489,-0.279094599689955,0.343958268549354,0.638803860655965,0.352208045310865,0.480109768729751,0.984954128501621,0.456830163819809,0.000864321341253005,0.00898894194903126,0.435896409295599,0.00305639578910563,0.0332118881874808,0.449231163018552,0.00245636674761727,0.0255462141752196,-0.470499593407518,6.63997951657811e-07,6.90557869724123e-05,-0.00762251025066582,0.0188319873298585,0.0699473815109029,0.0204346318667021,0.0664125535667819,-0.0367468384955522,0.783523268309425,0.987019846950917,-0.133953232352119,0.234707543084288,0.649295331147515,-0.188372179685818,0.760358245102204,0.984480251015208
"TRAV1.2_TCRVA_002.1",0.415325918011094,0.0240163171784672,0.0531424890757571,0.542302220728675,0.00229853805876156,0.00612943482336416,0.0901102151907722,0.700131222587311,0.996470134738779,0.232213784518461,0.241068557958661,0.404373064962916,0.595502328346787,0.00345630491857292,0.0059909285255264,0.000216549219484677,0.876751968883299,0.963852886263489,-0.305350270277193,0.404661367239509,0.657574721764202,0.114637634857172,0.853182745616564,0.984954128501621,0.419059609882088,0.0133065289753136,0.0307528669651693,0.41288584531004,0.0240483738944778,0.0595483544053736,0.410709573987879,0.0236325723821251,0.0558588074486593,-0.253162736244107,0.0398126782776085,0.0600075150850911,-0.0264493795745689,4.75619916453736e-11,2.47322356555943e-09,0.00218528275197431,0.0206608551095753,0.1615118026549,0.291265864617246,0.987019846950917,0.00714940104357256,0.961521672771235,0.987642693446716,-0.0631609725480492,0.931906057603226,0.988933869033138
"TRBV6.5_TCRVB_014.1",0.293015266533864,0.030404508936316,0.0645797310613444,0.366724329725743,0.00540863883405763,0.0114757784923435,0.028415430110376,0.860728536859897,0.996470134738779,0.133429277061285,0.454112740268247,0.605483653690996,0.467989512359085,0.00240696815658927,0.00455135796882336,0.000287302977804873,0.794605879751122,0.963852886263489,-0.369194703924773,0.161283951093434,0.638803860655965,-0.0858971597343393,0.846806905880694,0.984954128501621,0.300733301934345,0.0184366121873404,0.038348153349668,0.25782959592447,0.0551031377455663,0.109526374135917,0.271539493560038,0.0450250669859106,0.0883510748402774,-0.281938679615896,0.00142213588760996,0.00778432275323344,-0.00733747253473314,0.0142034014572388,0.0643104392031956,0.00949729320055033,0.0469366455499508,0.0349576995950374,0.775389872851399,0.987019846950917,-0.187550240311824,0.0706614494465466,0.575175663851679,0.141621596483554,0.804801011652294,0.984480251015208
"TRAV9.1_TCRVA_014.1",-0.218336399657206,0.14929785987851,0.194968599661345,-0.157640219727619,0.327553516095509,0.366296405096053,-0.463915860173586,0.198285136142895,0.996470134738779,-0.318635062969482,0.100994699768821,0.320934547472275,-0.185413019677504,0.2879405838848,0.302483037616356,-0.00151837718649842,0.25064482607184,0.963852886263489,-0.251514997589489,0.397276297696174,0.655821189847652,0.395575808262545,0.431424205052655,0.984954128501621,-0.24305278186722,0.11376127646685,0.146063861142622,-0.225841539322228,0.137268429072594,0.187841008204602,-0.227597304969354,0.137201354890188,0.18774922248131,-0.0817188967404713,0.432193365629884,0.483313011026968,-0.00116364604520694,0.740374363836938,0.802072227490016,0.484957456974964,0.530900795004171,0.0713840003427782,0.638749075333712,0.987019846950917,0.0301429036547953,0.80836590395886,0.974912412201223,1.5619872551455,0.0243343681536775,0.210897857331872
"TRBV6.8_TCRVB_016.1",-0.247535900469853,0.100805161807496,0.141672119297021,-0.205809759535393,0.16167577537035,0.195323114275345,-0.585128075270709,0.00441220237597423,0.22943452355066,-0.24090312388233,0.176335015969724,0.34732645896644,-0.179874019506137,0.223781691424466,0.247588254341962,-0.000204996230952951,0.867507748915919,0.963852886263489,-0.128468434692525,0.667159786609483,0.776082154890963,0.472911322919775,0.350168038799635,0.984954128501621,-0.251377405124811,0.080330348068182,0.112896705393121,-0.258864902028423,0.0800351562500585,0.132121527777874,-0.271112292445176,0.0740489508883477,0.120329545193565,-0.0178667249039949,0.852520473683475,0.852520473683475,-0.00348558720617763,0.281934402619336,0.396232133410959,0.388790635814979,0.439502457877803,-0.101333559060522,0.50293067179703,0.987019846950917,-0.129808477009554,0.274542632157195,0.649295331147515,2.24324321164596,0.000464937019032131,0.0161178166597805
"TRBV11.3_TCRVB_031.1",0.258545157529733,0.0852742676304965,0.123173942132939,0.372373162924882,0.0132679343348758,0.0237907788073636,-0.0571271188535329,0.777505424953019,0.996470134738779,0.11645936164091,0.530017271696197,0.67471985489002,0.399166154738893,0.0225433315677055,0.0312600864405516,-0.00083975375161196,0.491518635128007,0.963852886263489,-0.280880383837139,0.332304052760979,0.638803860655965,0.224454512309566,0.646724757909051,0.984954128501621,0.264723307776492,0.0677942420482164,0.102182625695862,0.226925025050393,0.126868118838457,0.177361518701338,0.244613886055623,0.103877908093686,0.147990444407444,-0.211296939397298,0.0300152625482662,0.0495490048415823,-0.00574074902564269,0.0810033628727643,0.200405949192626,0.279962927066963,0.330865277442775,0.124888184746213,0.348769801331909,0.987019846950917,-0.0741857422086625,0.545848410198662,0.78844770362029,0.761221377576449,0.235754522122401,0.721131479433225
"TRAV39_TCRVA_044.1",0.471147747683486,0.000812286668987256,0.012882669617529,0.551275317608232,4.47770240176055e-05,0.000610658899540688,0.172615635782052,0.326948073440208,0.996470134738779,0.364827710019246,0.0397351403539323,0.320934547472275,0.71325647806154,7.50888004124764e-06,0.000195230881072439,0.000790665250094213,0.488919197740956,0.963852886263489,-0.311596807497036,0.256874684335005,0.638803860655965,0.254687378569866,0.583361335942083,0.984954128501621,0.494716155789277,0.000174616382651965,0.00503636408021016,0.435322074052014,0.00204380177914092,0.0300288060374553,0.451336685342454,0.001331350301768,0.0197800616262674,-0.218638613614999,0.01551403544257,0.0298788830745792,-0.0025653311587437,0.402052612080917,0.491923195957828,0.0599180934328181,0.122185916019864,0.0613667777821991,0.6212361962355,0.987019846950917,-0.156129863991065,0.160070388637299,0.615801918117267,-0.0375523861302437,0.94989390967833,0.988933869033138
"TRAV41_TCRVA_046.1",0.36681966126102,0.00974539245584931,0.0337959594757002,0.43432746939589,0.00130866348699843,0.0041242728075102,-0.0539178821322308,0.764820078712127,0.996470134738779,0.331543534789374,0.0604277646005483,0.320934547472275,0.553461252848538,0.00143831918349049,0.00311635823089605,0.000543971960488283,0.62930852925055,0.963852886263489,-0.0492688088041952,0.855837279877925,0.899061384922264,0.23713154438188,0.605548273543281,0.984954128501621,0.374805255602807,0.00459458467978602,0.0170656002392052,0.343777717689979,0.0138386489743193,0.0478756525248864,0.343958802595592,0.0150582530499276,0.0453498768123194,-0.203949002614814,0.0235083198240699,0.0407477543617212,-0.00658528013349984,0.0302401208121177,0.0999092902473881,0.0228527657837741,0.0699025776915444,0.0515052766281568,0.677504773072417,0.987019846950917,-0.0682578725153186,0.516160802104189,0.767476432477641,-0.505054331017132,0.383469426966833,0.949543342965491
"TRBV11.2_TCRVB_030.1",0.27492908325642,0.0761795135216497,0.116509844209582,0.383743755229917,0.0187549977573116,0.0309606312184191,-0.0783801004357012,0.682654150201465,0.996470134738779,0.122575046299285,0.531990654817131,0.67471985489002,0.502874720793487,0.0169611482911042,0.0241638277023951,0.000139299729810677,0.904934380160795,0.963852886263489,-0.276455053256328,0.327806985372608,0.638803860655965,0.238899508482205,0.616911693121828,0.984954128501621,0.266009191612127,0.0610977992753023,0.0948383749944991,0.23759087368699,0.121912515735092,0.173683584060952,0.261929550147975,0.0887925795348956,0.137827287636256,-0.153701634962609,0.113101969967793,0.143446400934761,-0.00772900575416711,0.0178990467193711,0.0699473815109029,0.00401835507994116,0.0302954855583415,0.0544996242334709,0.668634563960453,0.987019846950917,-0.0793195333156339,0.467613761324471,0.73684592693553,-0.467443935606818,0.436303927588766,0.954144819440944
"TRBV7.8_TCRVB_023.1",0.354630378064678,0.00731368673439235,0.0292702064577241,0.462512149984071,0.00101709347672157,0.00344926344232492,0.0475943022247215,0.761549942938401,0.996470134738779,0.242303487725585,0.108056429581143,0.320934547472275,0.415999079419675,0.00249360935633363,0.00463098880461959,-0.000792630037550934,0.455701186221657,0.963852886263489,-0.343171973418822,0.191668496133187,0.638803860655965,0.142761804929944,0.747599247775457,0.984954128501621,0.334740496014479,0.00675372404428572,0.0196232306909545,0.330050083169835,0.0117711919321829,0.0478756525248864,0.337809722294571,0.0104406184187742,0.0434329726221006,-0.179419613688423,0.0310480858296846,0.0504531394732375,0.000829133239313011,0.76858708658961,0.824052134075458,0.182943934800329,0.257840969415091,0.0151792212747636,0.897238026695016,0.987019846950917,-0.0232113508080975,0.82549495874797,0.974912412201223,0.166056608700977,0.765145626995601,0.984480251015208
"TRAC_ENST00000611116.1",0.469335578442661,0.000867102762718297,0.012882669617529,0.543451538291513,2.63655210987486e-05,0.00054840283885397,0.0239627780763471,0.889242795952185,0.996470134738779,0.444430838909314,0.00759842302999796,0.212348303714345,0.724711550720098,2.3243333086148e-06,0.000195230881072439,0.00126621377889604,0.278817118475057,0.963852886263489,-0.219921591584275,0.434100295235126,0.663918098594898,0.210767197078036,0.657594808303883,0.984954128501621,0.477106174935154,0.000347147431277914,0.00515761897898615,0.448346183567552,0.00124232876405453,0.0258404382923342,0.458132766108273,0.00100185181259094,0.0197800616262674,-0.278857635493346,0.00204650440051473,0.00789585523495288,-0.00610565597807835,0.0464132541386468,0.134082734178313,0.00877681511180836,0.0456394385814035,0.0733776963351336,0.566498996194978,0.987019846950917,-0.0465156724146628,0.660536517426957,0.8695670609165,-1.4844430553998,0.0119422131928343,0.175807218868442
"TRAV4_TCRVA_005.1",0.249084007472137,0.111897172556127,0.151133843452432,0.336578542944819,0.022268286124946,0.035089420560521,-0.153338108340265,0.397293838323548,0.996470134738779,0.0960534088756472,0.599332518975189,0.702343294025464,0.591921569369789,0.000764692925552737,0.00184948986645313,0.00151287556551208,0.233250390869959,0.963852886263489,-0.0291015405009354,0.925472100588363,0.952961370902869,0.590832031437665,0.262827353303475,0.984954128501621,0.265053071242435,0.0707301302681443,0.103604697857563,0.239195845231329,0.120578230386853,0.173683584060952,0.257130388161706,0.0976936402368366,0.143100543445507,-0.369911820229978,0.000210632775482672,0.0037405268786036,-0.0128816310302443,0.000129164947326482,0.00191902207456488,0.249657753749023,0.308104879134178,0.0660833839863967,0.642740779194981,0.987019846950917,0.00328650217537864,0.978146129086651,0.987642693446716,-0.0266770392287192,0.967518214348753,0.988933869033138
"TRAV20_TCRVA_028.1",0.371258986601421,0.00584515990099068,0.0275922411852399,0.416432435186596,0.00261438627036911,0.00663161395410702,0.0162131149622673,0.922983095969837,0.996470134738779,0.236234536272856,0.179719180877362,0.34732645896644,0.59181868744031,0.000673374759454689,0.00178017722894135,0.000841033156579846,0.438174452537188,0.963852886263489,-0.313317376061312,0.216433325215819,0.638803860655965,0.0529424268267788,0.901532294933187,0.984954128501621,0.380212686331704,0.00286128091021389,0.0140508126595346,0.333326571998245,0.0141976528627381,0.0478756525248864,0.349076732821537,0.00933301427101619,0.042739087981399,-0.209298464578348,0.0165585404824222,0.0313106947303983,-0.00295089049193228,0.318585787587443,0.414161523863676,0.251816487753895,0.308104879134178,-0.0387606294970209,0.747072853328355,0.987019846950917,-0.142061679794142,0.174756290234881,0.615801918117267,-0.132842590567136,0.814089438339499,0.984480251015208
"TRAV26.1_TCRVA_034.1",0.425654225214043,0.00502367278414174,0.026123098477537,0.532556988742755,0.000505007844264227,0.00194521540012887,-0.0495997827262586,0.788111487681484,0.996470134738779,0.36749721509545,0.0415323041664544,0.320934547472275,0.695206067054871,9.03401149818959e-05,0.000488191509976224,0.000909196396682208,0.448456180910585,0.963852886263489,-0.219179391227542,0.454775490870281,0.676271151429452,0.204310647932221,0.680368630312177,0.984954128501621,0.432904540279918,0.0021364358919436,0.0126983196068817,0.401067901812444,0.00777842599197641,0.0449420168425304,0.403565837227694,0.00746912731454156,0.040883644248017,-0.287951646006775,0.0026404746649246,0.00915364550507195,-0.00364689922050752,0.262185696029071,0.373524827219499,0.0871111396021842,0.158324972230347,0.111668609531629,0.408873254502884,0.987019846950917,-0.12303849449384,0.289718690300786,0.649295331147515,-0.401669080223792,0.519713476452994,0.954144819440944
"TRBV12.5_TCRVB_034.1",0.0644661483444447,0.692471437676739,0.742443603282277,0.141382820738124,0.389661096859693,0.413517898708246,-0.24592411235878,0.214647484855498,0.996470134738779,-0.150759425359489,0.448923122750793,0.605483653690996,0.352310973477499,0.0753072560439136,0.0943608991393616,0.000815494050606724,0.510172889787668,0.963852886263489,-0.413671588326369,0.192591764638938,0.638803860655965,0.611230625453957,0.254999185119075,0.984954128501621,0.086463008736389,0.581050691535633,0.604292719197058,0.0382988807254821,0.811723160003387,0.835833748914378,0.0814482207306447,0.616074665773865,0.66741422125502,-0.334714540952819,0.00182257898274003,0.00789585523495288,-0.00941084646038784,0.00955538736966315,0.0552089048024982,0.115051631347345,0.184082610155751,0.0499100660608202,0.737251973736392,0.987019846950917,-0.153637557615649,0.258620098285237,0.649295331147515,1.04421320994347,0.116998839386199,0.599070866508589
"TRAV40_TCRVA_045.1",0.237310221454133,0.083103990829817,0.121729789384521,0.259721776278245,0.0527596789909951,0.0685875826882936,-0.138217449553528,0.433722603581714,0.996470134738779,0.0563877836557605,0.781656476544036,0.824541715837343,0.377286223106938,0.0273026503358122,0.0373615215121641,0.000357484666421042,0.768172645675079,0.963852886263489,-0.0777934468184849,0.76785135515457,0.823263308619333,0.310150508858555,0.487129780875253,0.984954128501621,0.218013759182826,0.103210398203124,0.134173517664061,0.195275499539608,0.179648328662008,0.234603134867875,0.204692552788663,0.150565609105195,0.200754145473594,-0.1115942204915,0.247525649374974,0.289243455449407,-0.00412138390374428,0.205473369997488,0.323738741671413,0.524758087096689,0.562627227402636,-0.108618841127244,0.426717204123884,0.987019846950917,-0.147694274097974,0.208712264551897,0.620173586097064,0.902950024164839,0.161210960111802,0.614238174290763
"TRBV25.1_TCRVB_043.1",0.408876379766469,0.00323428021275506,0.0240260815804662,0.462634941805694,0.000308167372361603,0.0014567912148003,0.0708870541973469,0.706486051227418,0.996470134738779,0.334957872859301,0.0449733023285887,0.320934547472275,0.578613236512501,0.000109339515816088,0.000488191509976224,-0.000146062706782496,0.893895289215485,0.963852886263489,-0.173481641612551,0.515533846827599,0.687378462436798,-0.0506941974843601,0.910547874592764,0.984954128501621,0.393917031662289,0.00215973227433122,0.0126983196068817,0.400868935442742,0.00319345078725777,0.0332118881874808,0.394021873883024,0.00427198512370283,0.031734746633221,-0.161202336914516,0.067059928108846,0.0871779065414998,-0.0115045735892785,9.10826497979726e-05,0.00157876592983153,0.0135080013265862,0.0501725763558917,-0.0109800843422866,0.929193905841295,0.987019846950917,-0.184228999416399,0.0632309115740772,0.575175663851679,0.859623693971845,0.121945490666243,0.599070866508589
"TRAV7_TCRVA_008.1",0.000494941213495509,0.997221383848911,0.997221383848911,0.118674875848921,0.388015935490717,0.413517898708246,-0.379041055070075,0.0557053533745821,0.996470134738779,0.0306457824629521,0.853379640036973,0.887514825638452,0.161830481673333,0.287442778207349,0.302483037616356,0.000332506601973661,0.771415278983016,0.963852886263489,-0.254310460698224,0.360081825175141,0.638803860655965,0.424440952672618,0.366768221521453,0.984954128501621,0.0268501528515245,0.842380462650328,0.858897726623863,0.0048753642428515,0.972193965137728,0.972193965137728,-0.0239251277556465,0.868069830359998,0.88509080742588,-0.141906406169905,0.115543566229623,0.144777480576877,3.90667257852043e-05,0.989775897644084,0.989775897644084,0.986478054014326,0.986478054014326,-0.0367327877238216,0.788062619539454,0.987019846950917,-0.0811960794282433,0.461820555203598,0.73684592693553,2.11488606261956,0.000419631343756906,0.0161178166597805
"TRGV9_ENST00000444775.1",0.14006212594531,0.360015467707126,0.406974006973273,0.230882875843618,0.116118350784561,0.143765577161838,-0.208888208806504,0.299810833465916,0.996470134738779,0.147434874993164,0.388370276052473,0.538540116126097,0.136271747630241,0.407672120378839,0.41566569136666,-0.00149398412720342,0.230131675854044,0.963852886263489,-0.2911238767167,0.339854452926422,0.638803860655965,0.233222057431641,0.65103720082004,0.984954128501621,0.15926449755171,0.282338031271916,0.329923092722239,0.128687116657472,0.395984858167985,0.452554123620554,0.132824172789222,0.385506061119224,0.445473670626658,0.0487735053561181,0.623275594412887,0.648206618189402,-0.00699787811625792,0.036052417186991,0.113619739013547,0.385699979002165,0.439502457877803,0.0157675266593216,0.909740276269953,0.987019846950917,-0.0189507858565877,0.882881842879332,0.976805443185644,1.01685388659185,0.12716196285889,0.599070866508589
"TRAV18_TCRVA_026.1",0.242383890951153,0.0707295552392966,0.109789160371445,0.294068315551004,0.0274952375517815,0.0408500672197897,-0.109140895171119,0.528896786578793,0.996470134738779,0.25938087296172,0.123631393397216,0.320934547472275,0.45072685075311,0.00425331442505918,0.00713459193880894,0.000747959755488139,0.500742915897194,0.963852886263489,-0.45004106519154,0.0825301363415924,0.638803860655965,0.0800524443110701,0.854480932918187,0.984954128501621,0.275189722342589,0.0316499041151319,0.0587783933566734,0.211941000181829,0.11610181511151,0.172494125308529,0.215846140200092,0.113380503074142,0.159345571887983,-0.093543900383943,0.283848658526014,0.324398466886873,-0.00205510802573765,0.485510233150371,0.573784820995893,0.640273035850331,0.665883957284344,-0.027425826879493,0.818428562601759,0.987019846950917,-0.1909385606792,0.0693504188347638,0.575175663851679,1.34067121373419,0.0210872282006006,0.210897857331872
"TRBV5.6_TCRVB_009.1",0.347307043674561,0.0125470675637353,0.036247084073013,0.369038052787828,0.00841493376943045,0.015627734143228,0.0182166359492225,0.91571933099281,0.996470134738779,0.261636668232683,0.134555328616911,0.333184623241876,0.553618989271838,0.000749558250745906,0.00184948986645313,0.000622567791646675,0.593251774840533,0.963852886263489,-0.305152245205322,0.260584675264793,0.638803860655965,0.0664274126553031,0.884705741051068,0.984954128501621,0.348578220606832,0.0090107106640476,0.0234278477265238,0.31753464117874,0.0221283824398356,0.0586244777194868,0.339172842393572,0.0139104065720147,0.0453498768123194,-0.280701891831349,0.002050728132825,0.00789585523495288,-0.00388933008031449,0.208562458576776,0.323738741671413,0.0121568470183834,0.0486273880735338,0.149877142716493,0.241344092158609,0.987019846950917,-0.169122339644827,0.120754888188522,0.615801918117267,0.239206500921707,0.68900306597677,0.96832863326465
